"","when","pacoVersion","experimentId","experimentVersion","actionTriggerId","actionId","actionSpecId","responseTime","scheduledTime","timeZone","presence","task","clarity","calm","tiredness","Form Duration","joined","schedule"
"1","2017/05/18 10:09:18+0000","4.2.25",6650267138260992,10,0,0,0,2017-05-18 10:09:08,NA,"+03:00",NA,NA,NA,NA,NA,NA,"false",NA
"2","2017/05/18 10:09:17+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2017-05-18 10:09:00,"+03:00",NA,NA,NA,NA,NA,NA,NA,NA
"3","2017/05/18 09:10:52+0000","4.2.25",6650267138260992,10,0,0,0,2017-05-18 09:10:49,NA,"+03:00",NA,257,NA,NA,NA,19,NA,NA
"4","2017/05/18 09:10:30+0000","4.2.25",6650267138260992,10,0,0,0,2017-05-18 09:10:26,NA,"+03:00",NA,NA,NA,NA,NA,NA,"true","New Group:[1479161737116:(1479161737118:Randomly 8 times per day between 10:00a.m. and 10:00p.m. incl weekends )]"
"5","2016/12/27 09:52:55+0000","4.2.25",6650267138260992,10,0,0,0,2016-12-27 09:52:52,NA,"+02:00",NA,NA,NA,NA,NA,NA,"false",NA
"6","2016/12/27 09:52:05+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,2016-12-27 09:52:01,2016-12-27 09:30:00,"+02:00",2,1,4.5,4.25,6.25,53,NA,NA
"7","2016/12/26 19:54:04+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2016-12-26 19:24:00,"+02:00",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016/12/26 17:52:03+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2016-12-26 17:22:00,"+02:00",NA,NA,NA,NA,NA,NA,NA,NA
"9","2016/12/26 17:04:13+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2016-12-26 16:29:00,"+02:00",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016/12/26 15:49:04+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2016-12-26 15:19:00,"+02:00",NA,NA,NA,NA,NA,NA,NA,NA
"11","2016/12/26 13:05:54+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,2016-12-26 13:05:50,2016-12-26 13:05:00,"+02:00",NA,NA,5.75,4.75,5.5,22,NA,NA
"12","2016/12/26 12:04:03+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2016-12-26 11:34:00,"+02:00",NA,NA,NA,NA,NA,NA,NA,NA
"13","2016/12/26 11:14:02+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2016-12-26 10:44:00,"+02:00",NA,NA,NA,NA,NA,NA,NA,NA
"14","2016/12/26 10:21:05+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2016-12-26 09:51:00,"+02:00",NA,NA,NA,NA,NA,NA,NA,NA
"15","2016/12/25 19:56:02+0000","4.2.25",6650267138260992,10,1479161737116,1479161737117,1479161737118,NA,2016-12-25 19:26:00,"+02:00",NA,NA,NA,NA,NA,NA,NA,NA
